Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.4395858012258422,2018-01-30 07:20:00,4 days 11:10:00,2018-01-30 21:20:00,0 days 14:00:00,3 days 21:10:00
0.0101312169391647,2018-01-12 07:20:00,0 days 15:10:00,2018-01-12 08:20:00,0 days 01:00:00,0 days 14:10:00
1.344751636652617,2018-06-15 06:10:00,8 days 12:50:00,2018-06-15 19:50:00,0 days 13:40:00,7 days 23:10:00
0.0373401379071225,2018-04-17 06:30:00,0 days 16:20:00,2018-04-17 22:00:00,0 days 15:30:00,0 days 00:50:00
1.3646700705483532,2018-08-12 06:30:00,8 days 09:50:00,2018-08-12 19:30:00,0 days 13:00:00,7 days 20:50:00
0.1587642731932383,2018-07-19 06:20:00,0 days 22:20:00,2018-07-19 16:50:00,0 days 10:30:00,0 days 11:50:00
1.5635698046926656,2018-11-14 06:50:00,8 days 20:40:00,2018-11-14 16:50:00,0 days 10:00:00,8 days 10:40:00
0.035401545072250684,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 15:30:00,0 days 08:20:00,0 days 06:50:00
