Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.4588756778740936,2018-01-30 07:20:00,2 days 07:20:00,2018-01-30 20:10:00,0 days 12:50:00,1 days 18:30:00
0.0095073925853412,2018-01-12 07:20:00,0 days 15:10:00,2018-01-12 12:10:00,0 days 04:50:00,0 days 10:20:00
1.5236780721906698,2018-06-15 06:10:00,5 days 03:50:00,2018-06-15 19:30:00,0 days 13:20:00,4 days 14:30:00
0.0459080760274659,2018-04-17 06:30:00,0 days 16:10:00,2018-04-17 21:50:00,0 days 15:20:00,0 days 00:50:00
1.5660993095404765,2018-08-12 06:30:00,5 days 02:10:00,2018-08-12 19:00:00,0 days 12:30:00,4 days 13:40:00
0.1927298936896591,2018-07-19 06:20:00,0 days 22:50:00,2018-07-19 16:50:00,0 days 10:30:00,0 days 12:20:00
1.6629010283647645,2018-11-14 06:50:00,5 days 06:40:00,2018-11-14 18:30:00,0 days 11:40:00,4 days 19:00:00
0.041641349147880646,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 15:30:00,0 days 08:20:00,0 days 06:50:00
