Maximum_error,thermal_zone,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.1146825823400092,N1AU401,2018-11-09 06:50:00,0.6319444444444444,2018-11-09 12:50:00,0 days 06:00:00,0 days 09:10:00
0.2070927525037831,N1AU401,2018-11-17 07:00:00,0.6319444444444444,2018-11-17 13:50:00,0 days 06:50:00,0 days 08:20:00
0.2471646090444466,N1AU401,2018-11-25 07:00:00,1.0902777777777777,2018-11-25 18:10:00,0 days 11:10:00,0 days 15:00:00
0.3741643337748108,N1AU401,2018-12-03 07:00:00,0.9791666666666666,2018-12-03 09:00:00,0 days 02:00:00,0 days 21:30:00
0.3673421592513115,N1AU401,2018-12-11 07:10:00,1.9027777777777777,2018-12-11 13:40:00,0 days 06:30:00,1 days 15:10:00
0.4716358323864078,N1AU401,2018-12-19 07:10:00,1.5486111111111112,2018-12-19 08:50:00,0 days 01:40:00,1 days 11:30:00
0.3049352376026384,N1AU401,2018-12-27 07:20:00,1.3402777777777777,2018-12-27 13:00:00,0 days 05:40:00,1 days 02:30:00
1.4793297291753724,N1AU402,2018-01-01 07:20:00,5.006944444444445,2018-01-01 18:00:00,0 days 10:40:00,4 days 13:30:00
0.3351085462296375,N1AU402,2018-01-09 07:20:00,0.6319444444444444,2018-01-09 08:40:00,0 days 01:20:00,0 days 13:50:00
0.3311591045005073,N1AU402,2018-01-17 07:20:00,1.9097222222222223,2018-01-17 16:10:00,0 days 08:50:00,1 days 13:00:00
0.4747508541113063,N1AU402,2018-01-25 07:20:00,1.3402777777777777,2018-01-25 14:20:00,0 days 07:00:00,1 days 01:10:00
0.7409127942480538,N1AU402,2018-02-02 07:20:00,1.1319444444444444,2018-02-02 14:50:00,0 days 07:30:00,0 days 19:40:00
0.223106162524143,N1AU402,2018-02-10 07:20:00,1.0972222222222223,2018-02-10 17:10:00,0 days 09:50:00,0 days 16:30:00
0.0849076303027764,N1AU402,2018-02-18 07:10:00,0.6319444444444444,2018-02-18 17:30:00,0 days 10:20:00,0 days 04:50:00
0.3203574074489914,N1AU402,2018-02-26 07:10:00,1.8472222222222223,2018-02-26 17:50:00,0 days 10:40:00,1 days 09:40:00
0.0370753914640573,N1AU402,2018-03-06 07:00:00,0.6319444444444444,2018-03-06 13:30:00,0 days 06:30:00,0 days 08:40:00
0.0772707236756709,N1AU402,2018-03-14 07:00:00,0.6597222222222222,2018-03-14 14:20:00,0 days 07:20:00,0 days 08:30:00
0.2610395907676057,N1AU402,2018-03-22 06:50:00,2.0277777777777777,2018-03-22 16:10:00,0 days 09:20:00,1 days 15:20:00
0.0742555810176064,N1AU402,2018-03-30 06:40:00,0.6319444444444444,2018-03-30 11:30:00,0 days 04:50:00,0 days 10:20:00
0.2771440928985136,N1AU402,2018-04-07 06:40:00,0.6319444444444444,2018-04-07 16:30:00,0 days 09:50:00,0 days 05:20:00
0.1725298018825078,N1AU402,2018-04-15 06:30:00,0.6319444444444444,2018-04-15 15:00:00,0 days 08:30:00,0 days 06:40:00
0.4342798222737194,N1AU402,2018-04-23 06:20:00,2.680555555555556,2018-04-23 16:10:00,0 days 09:50:00,2 days 06:30:00
0.1460113836252716,N1AU402,2018-05-01 06:20:00,0.8888888888888888,2018-05-01 16:50:00,0 days 10:30:00,0 days 10:50:00
0.16085217057066,N1AU402,2018-05-09 06:10:00,0.6319444444444444,2018-05-09 13:40:00,0 days 07:30:00,0 days 07:40:00
0.4908726357745792,N1AU402,2018-05-17 06:10:00,3.0277777777777777,2018-05-17 16:40:00,0 days 10:30:00,2 days 14:10:00
0.2390975445812344,N1AU402,2018-05-25 06:10:00,1.9097222222222223,2018-05-25 17:40:00,0 days 11:30:00,1 days 10:20:00
0.1537818618225941,N1AU402,2018-06-02 06:10:00,0.6597222222222222,2018-06-02 14:00:00,0 days 07:50:00,0 days 08:00:00
0.3548670971473697,N1AU402,2018-06-10 06:10:00,1.8402777777777777,2018-06-10 16:50:00,0 days 10:40:00,1 days 09:30:00
