Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.4952844124938025,2018-01-30 07:20:00,2 days 17:30:00,2018-01-30 16:20:00,0 days 09:00:00,2 days 08:30:00
0.0221593971132243,2018-01-12 07:20:00,0 days 16:50:00,2018-01-12 08:20:00,0 days 01:00:00,0 days 15:50:00
1.314408074995271,2018-06-15 06:10:00,4 days 04:40:00,2018-06-15 16:00:00,0 days 09:50:00,3 days 18:50:00
0.0814616624312023,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
1.095336209359246,2018-08-12 06:30:00,4 days 00:20:00,2018-08-12 16:50:00,0 days 10:20:00,3 days 14:00:00
0.1297977148688609,2018-07-19 06:20:00,0 days 15:20:00,2018-07-19 13:40:00,0 days 07:20:00,0 days 08:00:00
1.4818017632440572,2018-11-14 06:50:00,4 days 14:50:00,2018-11-14 15:00:00,0 days 08:10:00,4 days 06:40:00
0.046289234715224836,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 18:20:00,0 days 11:10:00,0 days 04:00:00
