Maximum error,Date_imputed,vanishing_time,Time of maximum error,Time for maximum error,Time from maximum to tolerated error
0.3695973749058758,2018-01-30 07:20:00,4 days 08:50:00,2018-01-30 20:00:00,0 days 12:40:00,3 days 20:10:00
0.2178480300899252,2018-03-08 07:00:00,2 days 06:20:00,2018-03-08 21:40:00,0 days 14:40:00,1 days 15:40:00
1.1344284512283629,2018-06-15 06:10:00,8 days 11:50:00,2018-06-15 20:00:00,0 days 13:50:00,7 days 22:00:00
0.5524361153610826,2018-06-27 06:10:00,5 days 02:20:00,2018-06-27 16:40:00,0 days 10:30:00,4 days 15:50:00
0.4844935289211811,2018-07-09 06:10:00,4 days 23:40:00,2018-07-09 18:30:00,0 days 12:20:00,4 days 11:20:00
1.1733325590675785,2018-08-12 06:30:00,8 days 06:20:00,2018-08-12 19:40:00,0 days 13:10:00,7 days 17:10:00
1.353846710416299,2018-11-14 06:50:00,8 days 22:10:00,2018-11-14 16:40:00,0 days 09:50:00,8 days 12:20:00
0.39190263530607794,2018-11-15 06:50:00,4 days 06:30:00,2018-11-15 17:10:00,0 days 10:20:00,3 days 20:10:00
