Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.1169169683554294,2018-01-30 07:20:00,2 days 22:40:00,2018-01-30 16:10:00,0 days 08:50:00,2 days 13:50:00
0.0079010838566198,2018-01-12 07:20:00,1 days 15:20:00,2018-01-12 14:10:00,0 days 06:50:00,1 days 08:30:00
0.3525145291044786,2018-06-15 06:10:00,7 days 05:30:00,2018-06-15 16:00:00,0 days 09:50:00,6 days 19:40:00
0.0278462686510287,2018-04-17 06:30:00,1 days 09:10:00,2018-04-17 16:30:00,0 days 10:00:00,0 days 23:10:00
0.2929215265748475,2018-08-12 06:30:00,6 days 23:30:00,2018-08-13 19:40:00,1 days 13:10:00,5 days 10:20:00
0.0328909479827288,2018-07-19 06:20:00,0 days 20:00:00,2018-07-19 14:20:00,0 days 08:00:00,0 days 12:00:00
0.3197350684112656,2018-11-14 06:50:00,8 days 13:00:00,2018-11-15 13:40:00,1 days 06:50:00,7 days 06:10:00
0.005099154430801889,2018-12-21 07:10:00,1 days 14:00:00,2018-12-21 16:00:00,0 days 08:50:00,1 days 05:10:00
