Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
1.0260495298022008,2018-01-30 07:20:00,4 days 23:10:00,2018-02-01 10:20:00,2 days 03:00:00,2 days 20:10:00
0.0193150695384787,2018-01-12 07:20:00,1 days 02:10:00,2018-01-12 08:20:00,0 days 01:00:00,1 days 01:10:00
1.4804168398879547,2018-06-15 06:10:00,7 days 05:20:00,2018-06-15 16:40:00,0 days 10:30:00,6 days 18:50:00
0.0736015998076098,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
1.217850222004337,2018-08-12 06:30:00,6 days 22:10:00,2018-08-12 17:00:00,0 days 10:30:00,6 days 11:40:00
0.1345771594873213,2018-07-19 06:20:00,0 days 15:50:00,2018-07-19 14:10:00,0 days 07:50:00,0 days 08:00:00
1.5177153945639112,2018-11-14 06:50:00,7 days 14:20:00,2018-11-14 16:00:00,0 days 09:10:00,7 days 05:10:00
0.06107893120459451,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 18:20:00,0 days 11:10:00,0 days 04:00:00
