Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.121751041536406,2018-01-30 07:20:00,0 days 12:10:00,2018-01-30 14:00:00,0 days 06:40:00,0 days 05:30:00
0.0092054761950883,2018-01-12 07:20:00,0 days 12:10:00,2018-01-12 14:10:00,0 days 06:50:00,0 days 05:20:00
0.374694150466599,2018-06-15 06:10:00,11 days 14:30:00,2018-06-15 16:00:00,0 days 09:50:00,11 days 04:40:00
0.0293971796946799,2018-04-17 06:30:00,0 days 12:10:00,2018-04-17 16:30:00,0 days 10:00:00,0 days 02:10:00
0.3212573658837172,2018-08-12 06:30:00,11 days 06:30:00,2018-08-13 18:50:00,1 days 12:20:00,9 days 18:10:00
0.0300858893888396,2018-07-19 06:20:00,0 days 12:20:00,2018-07-19 13:40:00,0 days 07:20:00,0 days 05:00:00
0.3701000844461113,2018-11-14 06:50:00,13 days 03:00:00,2018-11-16 00:00:00,1 days 17:10:00,11 days 09:50:00
0.00736294627213141,2018-12-21 07:10:00,0 days 12:10:00,2018-12-21 16:00:00,0 days 08:50:00,0 days 03:20:00
