Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
1.1261707560070278,2018-01-30 07:20:00,4 days 04:30:00,2018-02-02 10:20:00,3 days 03:00:00,1 days 01:30:00
0.0192916125218793,2018-01-12 07:20:00,1 days 00:00:00,2018-01-12 14:10:00,0 days 06:50:00,0 days 17:10:00
1.3066339099587907,2018-06-15 06:10:00,6 days 12:30:00,2018-06-15 16:30:00,0 days 10:20:00,6 days 02:10:00
0.0677689553289937,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
1.0658018626486658,2018-08-12 06:30:00,6 days 04:40:00,2018-08-12 17:00:00,0 days 10:30:00,5 days 18:10:00
0.1192708201322894,2018-07-19 06:20:00,0 days 15:30:00,2018-07-19 14:10:00,0 days 07:50:00,0 days 07:40:00
1.956716232196168,2018-11-14 06:50:00,6 days 23:40:00,2018-11-16 10:20:00,2 days 03:30:00,4 days 20:10:00
0.051992819730418915,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 18:20:00,0 days 11:10:00,0 days 04:00:00
