Maximum error,Date_imputed,vanishing_time,Time of maximum error,Time for maximum error,Time from maximum to tolerated error
0.0095073911366689,2018-01-12 07:20:00,0 days 12:10:00,2018-01-12 12:10:00,0 days 04:50:00,0 days 07:20:00
0.4588756727034244,2018-01-30 07:20:00,2 days 07:20:00,2018-01-30 20:10:00,0 days 12:50:00,1 days 18:30:00
0.0459080750922566,2018-04-17 06:30:00,0 days 16:20:00,2018-04-17 21:50:00,0 days 15:20:00,0 days 01:00:00
1.5236780874875215,2018-06-15 06:10:00,5 days 03:50:00,2018-06-15 19:30:00,0 days 13:20:00,4 days 14:30:00
0.1927298869308558,2018-07-19 06:20:00,0 days 22:50:00,2018-07-19 16:50:00,0 days 10:30:00,0 days 12:20:00
1.5660993183699323,2018-08-12 06:30:00,5 days 02:10:00,2018-08-12 19:00:00,0 days 12:30:00,4 days 13:40:00
1.66290101779391,2018-11-14 06:50:00,5 days 06:40:00,2018-11-14 18:30:00,0 days 11:40:00,4 days 19:00:00
0.041641372875403704,2018-12-21 07:10:00,0 days 12:10:00,2018-12-21 15:30:00,0 days 08:20:00,0 days 03:50:00
