Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.7202582638164579,2018-01-30 07:20:00,3 days 22:30:00,2018-01-30 17:10:00,0 days 09:50:00,3 days 12:40:00
0.0318612064342929,2018-01-12 07:20:00,0 days 15:10:00,2018-01-12 08:20:00,0 days 01:00:00,0 days 14:10:00
1.5006536746456618,2018-06-15 06:10:00,5 days 22:40:00,2018-06-15 16:30:00,0 days 10:20:00,5 days 12:20:00
0.0741370394712248,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
1.2983762557544836,2018-08-12 06:30:00,5 days 08:40:00,2018-08-12 17:10:00,0 days 10:40:00,4 days 22:00:00
0.1482974390723974,2018-07-19 06:20:00,0 days 15:40:00,2018-07-19 14:10:00,0 days 07:50:00,0 days 07:50:00
1.8244922285401015,2018-11-14 06:50:00,6 days 04:20:00,2018-11-14 16:00:00,0 days 09:10:00,5 days 19:10:00
0.09739408706991881,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 18:20:00,0 days 11:10:00,0 days 04:00:00
