Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
3.307920165549934,2018-01-30 07:20:00,2 days 11:20:00,2018-01-30 16:20:00,0 days 09:00:00,2 days 02:20:00
0.1477049279668136,2018-01-12 07:20:00,0 days 15:10:00,2018-01-12 18:20:00,0 days 11:00:00,0 days 04:10:00
3.916839047503238,2018-06-15 06:10:00,3 days 01:10:00,2018-06-15 16:00:00,0 days 09:50:00,2 days 15:20:00
0.2947702098800704,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
3.206076495688812,2018-08-12 06:30:00,2 days 21:30:00,2018-08-12 15:10:00,0 days 08:40:00,2 days 12:50:00
0.3159804067290963,2018-07-19 06:20:00,0 days 15:30:00,2018-07-19 14:10:00,0 days 07:50:00,0 days 07:40:00
6.913729366133474,2018-11-14 06:50:00,3 days 09:50:00,2018-11-14 14:40:00,0 days 07:50:00,3 days 02:00:00
0.19401267130905353,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 08:10:00,0 days 01:00:00,0 days 14:10:00
