Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.3696136570143089,2018-01-30 07:20:00,4 days 08:50:00,2018-01-30 20:00:00,0 days 12:40:00,3 days 20:10:00
0.0095863755851937,2018-01-12 07:20:00,0 days 12:10:00,2018-01-12 14:10:00,0 days 06:50:00,0 days 05:20:00
1.1344284413680832,2018-06-15 06:10:00,8 days 11:50:00,2018-06-15 20:00:00,0 days 13:50:00,7 days 22:00:00
0.0331353771020985,2018-04-17 06:30:00,0 days 16:40:00,2018-04-17 22:30:00,0 days 16:00:00,0 days 00:40:00
1.1733084990811022,2018-08-12 06:30:00,8 days 06:20:00,2018-08-12 19:40:00,0 days 13:10:00,7 days 17:10:00
0.1360166222381558,2018-07-19 06:20:00,0 days 18:10:00,2018-07-19 16:50:00,0 days 10:30:00,0 days 07:40:00
1.3538466976899317,2018-11-14 06:50:00,8 days 22:10:00,2018-11-14 16:40:00,0 days 09:50:00,8 days 12:20:00
0.031029789876065195,2018-12-21 07:10:00,0 days 12:10:00,2018-12-21 15:30:00,0 days 08:20:00,0 days 03:50:00
