Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.8200021631254515,2018-01-30 07:20:00,4 days 01:00:00,2018-01-30 17:00:00,0 days 09:40:00,3 days 15:20:00
0.0292514827271652,2018-01-12 07:20:00,0 days 15:10:00,2018-01-12 08:20:00,0 days 01:00:00,0 days 14:10:00
2.7829419118584084,2018-06-15 06:10:00,6 days 03:00:00,2018-06-15 15:20:00,0 days 09:10:00,5 days 17:50:00
0.0806335388369277,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
1.318087905496775,2018-08-12 06:30:00,5 days 15:20:00,2018-08-12 17:10:00,0 days 10:40:00,5 days 04:40:00
0.1385517495965018,2018-07-19 06:20:00,0 days 15:30:00,2018-07-19 14:20:00,0 days 08:00:00,0 days 07:30:00
2.1397111625902774,2018-11-14 06:50:00,6 days 11:40:00,2018-11-14 15:20:00,0 days 08:30:00,6 days 03:10:00
0.10486524854600177,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 18:20:00,0 days 11:10:00,0 days 04:00:00
