Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
3.734979694707583,2018-01-30 07:20:00,2 days 18:30:00,2018-01-30 16:20:00,0 days 09:00:00,2 days 09:30:00
0.204184522425983,2018-01-12 07:20:00,0 days 15:10:00,2018-01-12 18:20:00,0 days 11:00:00,0 days 04:10:00
4.541161115665741,2018-06-15 06:10:00,3 days 17:10:00,2018-06-15 16:00:00,0 days 09:50:00,3 days 07:20:00
0.4069196478257311,2018-04-17 06:30:00,0 days 15:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 04:40:00
3.8276228206979184,2018-08-12 06:30:00,3 days 12:20:00,2018-08-12 11:10:00,0 days 04:40:00,3 days 07:40:00
0.3906586039715733,2018-07-19 06:20:00,0 days 15:50:00,2018-07-19 13:40:00,0 days 07:20:00,0 days 08:30:00
8.37698807556982,2018-11-14 06:50:00,3 days 23:50:00,2018-11-14 13:40:00,0 days 06:50:00,3 days 17:00:00
0.26713195530158984,2018-12-21 07:10:00,0 days 15:10:00,2018-12-21 08:10:00,0 days 01:00:00,0 days 14:10:00
