Maximum_error,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.1344524869928349,2018-01-30 07:20:00,5 days 06:20:00,2018-02-01 09:40:00,2 days 02:20:00,3 days 04:00:00
0.0010978174554452,2018-01-12 07:20:00,0 days 12:10:00,2018-01-12 14:10:00,0 days 06:50:00,0 days 05:20:00
0.3223480856929299,2018-06-15 06:10:00,10 days 15:50:00,2018-06-17 12:30:00,2 days 06:20:00,8 days 09:30:00
0.00327552012034,2018-04-17 06:30:00,0 days 12:10:00,2018-04-17 17:00:00,0 days 10:30:00,0 days 01:40:00
0.3258264377529087,2018-08-12 06:30:00,10 days 08:40:00,2018-08-14 01:40:00,1 days 19:10:00,8 days 13:30:00
0.0232565094541357,2018-07-19 06:20:00,1 days 20:30:00,2018-07-21 02:40:00,1 days 20:20:00,0 days 00:10:00
0.3907651697271603,2018-11-14 06:50:00,11 days 22:40:00,2018-11-16 08:30:00,2 days 01:40:00,9 days 21:00:00
0.0027346120058950873,2018-12-21 07:10:00,1 days 19:40:00,2018-12-23 02:50:00,1 days 19:40:00,0 days 00:00:00
